Kanji	Reading	Meaning	Level	Year	Strokes	Examples	Etymology	Mnemonic	Images
一	ICHI, ITSU, hito-	one	L5	1	1	一月 [ICHIGATSU] - January; 均一 [KIN’ITSU] - uniformity; 一人 [hitori*] - one person	A simple single stroke to represent ‘one’. Unsurprisingly, a similar convention was employed in ancient Egyptian hieroglyphic writing and in Sumerian cuneiform. References: SS1984:27; QX2000:32.	ONE FINGER	
右	U, YŪ, migi	right	L5	2	5	右派 [UHA] - rightist faction; 左右 [SAYŪ] - control; 右手 [migite] - right hand	Originally represented by , a stylized sketch of a hand. Other early but more complex forms show a hand on the right-hand side of what is widely interpreted as a mouth or – in a minority view (Shirakawa) – a ritual vessel / 口 22 . References: SS1984:36; BK1957:261-2; KJ1970:38; AS2007:581-2.	RIGHT HAND TO THE MOUTH	images/48a.jpg; images/48b.jpg
雨	U, ame, ama-	rain	L5	3	8	雨季 [UKI] - rainy season; 大雨 [ōame] - heavy rain; 雨雲 [amagumo] - rain cloud	OBI . Based on a conceptual depiction of rain, falling from the sky which is represented by a top horizontal line, though this line is often missing in the OBI and bronze forms. The graph can also indicate weather elements. References: SS1984:38; QX2000:208.	RAIN FROM HEAVENLY CLOUDS	images/48c.jpg
円	EN, maru	round, yen	L5	4	4	円形 [ENKEI] - circle; 百円 [HYAKUEN] - hundred yen	The modern simplified form of 圓 , a relatively late graph ( Shuowen ) which consists of 囗 (regularized shape for ‘circle’) with 員 248 (‘official’, originally ‘cauldron’) as phonetic; included by Tōdō in word-family meaning ‘round; surround’. 円 may be based on a cursive form of 圓 . References: YK1976:69; TA1965:63-4. We suggest taking the graph as resembling a bank teller’s window.		
王	Ō	king, ruler	L3	5	4	王子 [ŌJI] - prince; 女王 [JOŌ] - queen; 王様 [Ōsama] - king	OBI shows this graph to be based on a battle-ax blade. Shirakawa feels the OBI and bronze equivalents show a ritual blade of a type used only by those of high status such as a ruler. Qiu notes that at the seal script stage the character 王 and another separate character meaning ‘jewel’ were written so similarly that they could easily be confused, so a dot was added later for clarity when writing ‘jewel’ (see 玉 15). References: SS1984:62-3; QX2000:46.	KING RULES WITH AN AX	images/48d.jpg
音	ON, IN, oto, ne	sound	L4	6	9	音楽 [ONGAKU] - music; 子音 [SHIIN] - consonant; 発音 [HATSUON] - pronunciation	Precise etymology disputed. Early bronze equivalent . The lower element is interpreted either as a mouth (Karlgren, Katō) or as a prayer receptacle. Shirakawa takes the latter view, and maintains that the (extra) horizontal stroke inside the receptacle represents a written prayer. Katō regards 音 and 言 (see ‘word’, 118) as having been used interchangeably in ancient times, though Karlgren treats them as having been separate. References: BK1957:173, 80; KJ1970:68; SS1984:68. We suggest taking 立 as ‘rising’ 77 and 日 as ‘sun’ 66.	SOUND OF THE RISING SUN	images/49a.jpg
下	KA, GE, shita, moto, shimo, sa	under, lower	L5	7	3	下品 [GEHIN] - vulgarity; 低下 [TEIKA] - decrease; 川下 [kawashimo] - downstream	OBI . Mizukami suggests the curve was to help distinguish this character from early forms of 二 65 (‘two’). At some point, a vertical stroke was added beneath the longer horizontal. Qiu feels this change was also for graphic distinction – in this case from the early forms of 上 39 (‘above’), which was written with a short horizontal stroke over a longer one to represent ‘go up, above’. Shirakawa takes the longer horizontal line in early forms as depicting the palm of the hand (in profile). References: BK1957:28; QX2000:46; MS1983:151; SS1984:69.	T-BAR WITH DROOPY LOWER HANDLE UNDERNEATH	images/49b.jpg
火	KA, hi	fire	L5	8	4	火曜日 [KAYŌbi] - Tuesday; 火山 [KAZAN] - volcano; 火花 [hibana] - spark	OBI shows it to be based on a stylized sketch of a burning fire. As a lower determinative / element, it typically occurs as 灬 . References: SS1984:70; KJ1970:953-4.	FLAMES OF FIRE	images/49c.jpg
花	KA, hana	flower, blossom	L4	9	7	花弁 [KABEN] - petal; 花見 [hanami] - blossom viewing; 花火 [hanabi] - fireworks	A late character. The top element is the typical abbreviation 艹 of the ‘plant’ determinative 艸 53 (itself based on a pictograph of plants growing), while the lower element 化 ‘change’ (see 258), serves as phonetic (associated sense here disputed), and is a pointer to the reading, which in modern Sino-Japanese is KA (also a phonetic indicator in 貨 KA 455, etc.). According to Shirakawa, the graph 花 was probably not devised in China until the early 5th century AD; Katō gives a wider timeframe, viz the Six Dynasties period (ca. 222-589AD). References: SS1984:72; KJ1970:315.	FLOWERS BLOSSOM WHEN PLANTS CHANGE	
貝	kai	shell, shellfish	L3	10	7	帆立貝 [hotategai] - scallop; 貝殻 [kaigara] - seashell; 貝類 [kaiRUI] - shellfish			
